candidate_group,review_id,source_split,source_star,review_length,aspect_summary,positive_label_count,neutral_label_count,negative_label_count,privacy_risk,review_text
mixed,30706,train,5.0,210,service:positive; price:negative; environment:neutral; food:positive,2,2,1,False,环境很文艺、很小资，小店的氛围不错，有仿古，有点小清新。店中最有特色的要数暖锅，暖锅的锅底有牛腩番茄味道的，看点评说味道不错，尝过之后确实也很好。点的话梅芸豆，味道淡淡的，还有浆水凉皮，味道清新，都很好。值得推荐的是小店的桂花黄酒，度数略高，三杯下肚有点小晕。小店的服务还可以，服务员都是年轻的小伙和美女，很养眼，小店适合情侣约会、氛围温馨。\\n不过就价格而言，有点略高，人均100元左右。偶尔一来，小酌一杯，还不错。
mixed,22468,train,5.0,303,location:negative; price:neutral; environment:positive; food:positive,3,2,1,False,总统大厦后身小区里，深藏在胡同里的黑暗料理，味道真是名不虚传，门脸很小，不是特意找都注意不到，店里面积不大，装修的像是家里的风格，有种去朋友家做客的感觉，点了他家金枪鱼拼地中海披萨，土豆浓汤，炸鱼薯条，烤鸡肉卷，。价格正常，不贵也不便宜，菜量非常大，盘子就很大很大，每一道菜做的都很香，披萨里面的料放了好多，芝士也很足，饼底不是薄的但是吃起来很脆很香，，炸鱼做的外脆里嫩，炸得火候刚刚好，吃这一点也不油也不腻，喜欢他家的烤鸡肉卷，在别人家没见过，鸡肉里面还卷了馅儿，各种味道混合，淋上酱汁，特别好吃，里面的配菜豆角也很不错啊～～～～汤很浓，不过喝多了有点儿腻，总之感觉每道菜都很好吃很香，绝对是店家用心做的
mixed,30477,test,5.0,253,service:mixed; environment:positive; food:positive,8,0,2,False,环境不错，很有文艺气息，据说是复旦校友众筹，又是申报馆，B格很高。一楼可以用餐，喝咖啡，略吵；二楼是个酒吧，沙发区很舒适，下午去的，点了喝的，很安静，适合谈事情办公，但不可以用餐，后来加了吃的，就只好移到楼下。\\n食物味道还行，招牌press咖啡也不错，只是建议能不能把上面那个带颜色的奶油给换掉，实在有点…还有个招牌甜品，名字忘记了，是朗姆酒里面浸泡，沾巧克力酱吃，很有特色，但是酒味很浓，不喜欢酒精的朋友慎点。\\n服务生也很热情，虽然开始点好单把我们忘记，两杯咖啡等了半个小时！不影响整体良好体验～
mixed,39662,train,5.0,201,price:negative; food:positive,1,0,1,False,这次去崇明旅游，看了点评说陆港小镇和一只菜比较不错，第一天中午就去吃了陆港小镇，感觉味道还是蛮好的，就是感觉价格有点贵，后来打车听师傅说他们当地人去吃小牛饭店和陈记家常菜的比较多，佳诚饭店也不错，结果一看小牛饭店和陈记家常菜的卫生状况都不怎么样，佳诚饭店看起来还挺不错的，进去也有有价目的菜单，后来就在这里吃了，感觉虽然有点小贵，不过味道和还是蛮不错的，下次有机会再到崇明来去吃吃看一只菜的味道怎么样。
mixed,2823,train,3.0,203,service:positive; price:negative; food:neutral,1,1,1,False,东西没有以前的多没有以前的好吃，对于这个价格来说不值得，饮料兑水太严重，但是酸奶很好喝，寿司不够入味，蔬菜沙粒味道还不错，很解腻，以前去过一次感觉挺好的，现在越做越差了，老板长点心吧，不然以后就没多少人去了，对了，冰淇淋也没有，不知道是吃完了还是怎么的，当时是7点钟去的，人不是很多，服务还不错，只是东西不怎么好吃，牛排还要加钱，有点坑爹，我记得以前是每人凭小票领一次的，哎，以后不会考虑再去了，越来越差。
service_problem,46396,train,2.0,296,service:negative; food:mixed,1,0,3,False,看了点评上的评论专门跑他们家吃，四个字评价：大失所望。1、服务很差，点菜的时候那服务员态度极差，不给倒开水也就算了，竟然点菜的时候要求我们尽量别点样数太多，比如主食最好几个人都要点一样的，简直莫名其妙；2、上菜速度极慢，就点了三个菜一个汤一主食，等了一个小时没有上齐；3、菜巨咸，所有的菜都咸，连疙瘩汤都死咸。而且疙瘩汤做的极其诡异，此生吃过的最难吃的疙瘩汤。菜量巨大；4、管理一团混乱，结账的时候没人搭理，自己跑到前台要求结账还等了5分钟，然后，奇葩的是，他们找不到点菜单了，最后让我复述一遍我点的菜，我靠，你们真不拿我当外人啊。服了。无数的人在前台说自己定了桌但都没有留座，管理极度混乱。
service_problem,40930,train,4.0,264,service:negative; price:negative; food:positive,1,0,3,False,闻名遐迩，国庆特地过中山逛街，到石岐佬吃顿饭，六点店前已大排车龙，空地上全停满车了，只好停到对面马路边上；一到门口人声鼎沸，人如潮涌，服务员如鲫穿梭，更多的人是拿筹等号，站着漫漫守候；等70多号的时间很难过，只好到处走走，顺道看看中山特色餐点及制作工艺、流程，后面还有更多的人加入到等位大军中，阵势历年少见，包括游历国内外的食肆。等坐下点菜，例行必点石岐乳鸽，味道十分入味，香酥外脆，骨头也咬碎下吞，回味无穷，难怪“来中山必到石岐佬”已成经典，其他菜色出品也不错，口味相宜！！价钱就相对偏贵了，节假日还加一，简直是坑奶奶奶的！！
service_problem,36460,test,4.0,294,service:negative; price:neutral; food:neutral,0,2,1,False,说是瑞景店，其实在加州边牛庄里，好享来是二十来年老牌，虽然跟豪客来，豪佳香都是同一个人创立，经营模式差不多，但是消费体验略不同点。比如他家沙拉不是自助的，总觉得沙拉吃不够。点了份菲力，从十年前25元吃到现在五十几元。口味还是始终如一，这个是比较难得的。不过各分店厨师生熟比例各不同。瑞景这家比较生，就是九分熟我感觉跟台湾街五分熟差不多。还好牛肉嫩，腌制好，口感不觉得生。但是总体感觉牛排口味比豪客来差点，生意也冷清些，一般豪客来吃饭时间要排队的，好享来却不会，而且看我拍照，如此地段周末晚餐竟然没几桌。至于他家服务，有点不喜欢。一点餐就付款，如此，后面想加餐就不想加了～～～～希望改变下。
service_problem,7688,train,3.0,278,location:positive; service:mixed; price:positive; environment:positive; food:positive,6,1,1,False,位置：这里的位置非常好找，就在铁三附近，就可以看到诚胜和的红色巨大招牌。服务：这里的服务我不得不说真的是很不好，也许是因为这里在学校旁边，服务起来有一种暴力模式，因为今天是第一次去不太清楚点饭模式，但是服务人员就很凶，本来点的是8块钱的三鲜馄饨，付钱的时候要了12，我说我要的是三鲜馄饨，她说汤是三鲜的，馄饨是大肉的，这种狡辩让我很不开心。环境：这里的环境还算干净整洁，店面相对也比较大，整体比较规规矩矩和大多数店差不多的。口味：这家上饭速度很不错，挺快的，饺子里的馅也挺多的挺实在的，中午学生在这里挺实惠的。总之这家是一家不错的店，就是服务态度需要改善。
service_problem,11424,train,1.0,238,service:negative; food:positive,2,0,1,False,古意久光店的鱼头和酸菜牛蛙非常好吃，前两天和朋友去用餐了，但是服务非常不满意，当时一位大叔给我们上菜，我让他给我们上三碗米饭，他没理我，我以为他没听见，我又重复了一遍，看他哪满脸凶相，说了句等一下，口水都贱到我身上，说话的态度非常不好，很恶心，转头就走，嘴里还骂人，吃你妈……这下心里感觉心里像要爆炸似的，想要找他们的经理，这是什么服务态度嘛，后来我朋友说算了，出来吃饭就开心点，我真心的醉了，这样的服务态度真的很差很差……我希望下次再去吃饭的时候不要再让我看到这样的员工了！
environment_problem,33076,train,4.0,268,service:positive; price:positive; environment:mixed; food:positive,5,0,2,False,第一次抽到大众点评的霸王餐，很意外很惊喜啊。果然多点评多团购，不偷懒自然就有食神。来的是淘金路的店，店面比较小，饭点时间估计就木有位置啦，还是比较干净的。一进店跟收银员说大众点评抽中的免费双人餐，她随即就很醒目地让我们登记资料，大吼着对厨房说上霸王餐。感觉也是醉了。上菜效率很高。肠粉一如既往地好吃，瘦肉拉肠皮薄肉滑，鸡蛋拉肠浓浓蛋香，怒赞一个。唯一觉得不好的就是如此炎炎夏日吃着两碗滚烫的砂锅粥。皮蛋瘦肉粥熬得很绵柔，味道也还是可以的，只不过吃得满头大汗，店里空调不给力啊。猪肝粥很腥，不予置评。总的来说，还希望下次能再被抽中啊啊啊。
environment_problem,24593,dev,4.0,271,price:positive; environment:negative; food:positive,4,4,1,False,文庙附近吃象山海鲜的小饭店，价格亲民，环境一般，油烟味重。菜的量很实在，点了很多推荐菜，龙头烤炸的外表金黄，火候控制的很好，外催里嫩，蘸醋吃很开胃，不会觉得油腻。葱油蛏子可能是季节原因，肉质不算肥美，不过葱油很香，而且处理的比较干净，没有泥沙，就是实在太油，不敢多吃。心太软非常喜欢，满满一大团糯米，都扑出来了，QQ糯糯的，红枣也很甜，好吃，一盘几乎被我一个人吃掉了。年糕类的菜也不错，荠菜年糕、毛蟹年糕都喜欢，只要是糯米的，我都没有抵抗力。洋葱炒大肠和酸汤肥牛一般，大肠不够肥大，肥牛比较柴，而且偏咸了。总的来说，性价比很高，适合家人聚餐。
environment_problem,39921,train,4.0,225,service:negative; environment:negative; food:negative,0,1,3,False,这种天气最适合吃碗热热的，所以大中午就去安老太家了，一碗羊肉泡馍，一个大份汤饺，感觉棒棒哒，就是感觉大份水饺份还是很少，哈哈可能我太能吃了吧，由于中午赶时间，所以没有尝尝肉托馍，下次有机会过去尝尝，羊肉泡馍其实不是很正宗，肉几乎没有，就是淡味肉汤泡馍馍，环境很嘈杂，因为生意超级好，总是爆满，上菜速度确实很慢，等了好久才端上来，因为赶时间，所以很着急。小菜不好吃，没有一点味道，以后不会吃他家的小菜了。还有他家水壶设计不合理，应该换掉的，差点烫死我。
environment_problem,40250,train,5.0,240,location:positive; service:positive; price:positive; environment:mixed; food:positive,8,1,1,False,逛街到了7up 我姐非要吃韩料。只好从了她。这是第一次来泰熙家，感觉环境还不错，地方挺好找的。7up上5楼一眼就看到了。进去服务员挺热情的，给我们点单。不过我们是团的套餐。 \\n\\n给菜品点评下。\\n航母锅。 料挺足的。不过感觉蛤蜊有点不干净。有沙子。 里面的汤很好喝。  分量也很足。 上来之前还会拿酒精炉打一下。挺好的。\\n寿司的话。味道挺一般的。上之前还会问你要什么酱。感觉就是外面小摊上面的味道。\\n总体来说这个小店还是不错的。毕竟很便宜。分量也很足。 哈哈哈！
environment_problem,9175,train,2.0,254,service:negative; environment:negative; food:positive,1,3,2,False,刚开的一家店还有歌手、现在青岛港上这种餐厅现在很多，自从嗨货开业之后引领可时尚青岛餐饮，但是这次来的感觉不好，刚开业人也不是很多，服务感觉一般，上菜太慢了，五十多分钟一个海参豆腐都没上来，问了好几次服务员崔，结果还是没上，无语了，麻辣龙虾感觉还可以，龙虾量很多，个头很小，烤羊排是最喜欢的了，那个炒鸡真心不咋的，用鸡腿肉炒的，口感不好，歌手八点半就不唱了，唱的也一般，氛围不好，不如嗨贝的有感觉，嗨不起来，走时看到一楼餐具放的到处是很脏，地上有残羹菜渣，太影响店面了，舞蹈跳的还不错，表扬一下，希望整改下吧，
price_feedback,29177,train,5.0,315,price:neutral; food:positive,1,2,0,False,汇悦城的麦当劳～应该是这里最便宜的消费了～所以什么时间段都不缺人～加上遇上一些很赶脚的顾客肯定这里是首选～这里的营业时间是早上6点到晚上11点 ～通常到了晚上10点半 汇悦城关门得时候～麦当劳都超级多人？为什么？因为汇悦城4楼有个电影院～到了晚上汇悦城关门～人们想吃宵夜要不就麦当劳～要不就旁边的7仔～到了晚上11的电话临近麦当劳关门的时候～基本你要什么没什么。特别是鸡翅那些～这次来吃了下麦当劳得新品充电堡之香满嫩鸡加长堡组合～味道不怎么样。其实就是2块麦香鸡加培根～然后汉堡包里面的酱很奇怪～吃着吃着有橙味。不过份量很足 ，一个加长堡等于2个麦香鸡堡。只追求饱的人可以尝试～如果追求味道的话我劝你还是慎重考虑。这次消费是16块
price_feedback,24958,train,3.0,236,location:positive; price:neutral; food:positive,2,1,0,False,无意间发现的一家店，在长寿路地铁站附近，出品还不错……是轻西餐类型，适合朋友聚会……它家的价钱也不算贵，有些牛扒才五十多，都有厚厚的一块了……而且肉质还挺想的……鸡扒也比较正常，但没有想象中的滑……肉酱意粉味道也不错，相比之下另一个的烟肉奶油款式就要味道淡些……炒饭也挺颗粒感的，加了蟹子是最好吃的部分……不过其他海鲜料，还有什么八爪鱼真心没吃到几颗……不过才二十多元，就那样了……小吃类也不错，薯条拼盘和炸牛奶都炸得跟香口……芝心丸子也好吃，芝士好香，不过吃多了就腻……
price_feedback,9167,train,5.0,252,location:positive; service:positive; price:positive; environment:positive; food:positive,5,2,0,False,刚开始看到团购券觉得非常划算就拍了，果然没选错，首先旺旺达蘸料非常好吃，而且是老板娘亲自搭配，串种类多样品种全，肉类有鸡肉，羊肉，牛肉等，海鲜有鱼，虾等，蔬菜有香菜，白菜，海带，木耳等，主食方便面，炒饭等，水果非常全而且食材新鲜。唯一不足的就是酒水不通用。每桌都赠送一份西瓜虽然不是什么贵重的东西但是在这个炎热的夏天很细心，非常感谢老板！店内干净整洁，服务员很勤快热情。结账也快。旺旺达位于鞍山街老船长直行。附近公交车有45路46路等交通便利！纸抽收费2元一份。不知道为什么给我的账单上面加了一瓶矿泉水？
price_feedback,46179,train,5.0,308,service:positive; price:negative; food:positive,2,0,1,False,"海底捞可以这么总结：服务好，味道好。当然心情也不会差，所以说贵点是有原因的。几个人口味各有不同，所以点的锅底也是不同的。个人还是最喜欢番茄锅底。和清汤锅底和菌菇锅比，里面的食材有了番茄的酸甜的鲜美。和麻辣锅底比，没有那么重口，呛味，这也有可能是因为本人吃不了辣。虾滑可以说是我火锅必备 ，鲜嫩又q弹，入口感觉非常棒。肉也很新鲜比较嫩。几个人好像都光顾着吃肉了。对了，年糕也好评,虽然已吃的很撑，面对年糕的诱惑还是难以抵挡，咬上去很劲道。再说服务，海底捞的服务真的是没得说，态度非常好，在点餐时会考虑我们几个人的胃口。吃的时候还有海底捞员工等我表演，着实增添了趣味。作为学生党的我，如果手头宽裕，冬天一定要去吃海底捞。"
price_feedback,40767,train,5.0,255,location:positive; service:positive; price:neutral; food:positive,3,1,0,False,长草已久，必须拔拔。正好下午有时间，打电话过去预约了下，由于工作日，所以没有人，包场的感觉棒棒哒。地铁2号线东昌路下，4号口出，差不多5分钟左右就到了，蛮方便的。在居民楼里，一进去就看到好多猫猫，老板娘很热心，直接教我们这种入门的怎么抱猫咪，然后把爱丽丝也放了出来，猪猪比想象中小好多，特别爱吃，老拿鼻子拱人，增有爱。猫猫都蛮磨人的，而且有几只好漂亮。点了一杯茶，一杯青草汁加奶之类的饮品，一份巧克力熔岩，一份双人份的鸡排，都是38元，吃的还是可以的，而且茶可以续杯。最主要还是和猫猫猪猪互动下，挺不错的选择。
