review_id,review_text,source_star,source_split,location_sentiment,service_sentiment,price_sentiment,environment_sentiment,food_sentiment,aspect_summary,selection_role
28901,每次去比格都很奇怪，貌似人不是很多，却是外面好多的排队。孩子上完课后。和朋友一起去的，还好排队时间不算太长，大约半个小时吧，被安排在一个角落里。先来说说他们环境吧。因为来过n次了，不算好也谈不上坏，环境一般般吧。这次发现他们地面好滑，觉得粘呼呼的。不知道那么多工作人员走来走去能否感觉到？再说食品，我们12.50左右进去的，应该是午餐最旺盛的时刻吧，我想喝点银耳汤却始终没有喝到，不是人太多喝不到啊，而是等了好久都没有，说实话，如果不是孩子们要去，个人不会首选！,4.0,train,,negative,,negative,,service:negative; environment:negative,regression_negative
14662,国庆黄金周前朋友聚餐 团了券带上老婆孩子 由于孩子身高还不足一米 免费 酒店比较贴心给准备了儿童餐椅和整套儿童餐具 赞一个 娃爱吃虾 蒸蛋 小蛋糕 后来还下了碗面条 餐厅的各类美食还是比较丰富的 有刺身 有碳烤 有中餐 有铁板 老婆爱吃三文鱼 比较过瘾 如果有我爱吃的北极贝就更好了 烤小黄鱼盐加多了 超咸…… 碳烤生蚝和扇贝爱吃 搞了几轮 不错的 小龙虾由于已经下市 个头小不好吃了 其他各种肉类还是蛮对口的 就是感觉自助餐还是中午吃好 晚上吃得花好长时间消化啊……,5.0,train,,positive,neutral,,negative,service:positive; price:neutral; food:negative,regression_mixed
26218,最爱的就是匠子的盐水毛豆蘸芥末 特别好吃 或许是因为我比较喜欢芥末的味道吧 所以我觉得超级棒 每次来吃烤鱼都是心里特别激动特别想念的时候就第一时间冲过来排位等叫号 就算辛苦也觉得值得 只要能吃到就很开心了 只不过昨天去吃的时候 可能烤鱼师傅今天心情太好了 放了的配料好像有点重 吃过之后回来一直狂喝水 但是配饭吃就棒棒哒 千叶豆腐的好吃程度和毛豆有的一拼 总而言之 为这个人多排位等很久但是吃的很开心的地方点赞 p.s 重点是还在放疯狂外星人 开心～,5.0,test,,negative,,,positive,service:negative; food:positive,regression_mixed
24464,據我了解，大舜是家有名的火鍋店，不過這是我來了以後才聽說的，這地方交通不便，我只能打車來，公車不會搭，要在下沒事過來吃火鍋，不用錢都還要考慮考慮，但嚐過以後，味道的確不錯\\n　\\n友人作東，我就出一張嘴，再加上按快門，據了解是團購了份四人套餐，有需要再加點，反正我是吃得很飽，中午一頓火鍋頂到隔天，晚餐都沒吃也沒事ㄦ。好處是一人一鍋，雖然少了些熱鬧感，但對有潔癖的人很有幫助，像咱們幾個台灣同志，基本不接受吃別人口水這檔事，自己掌控自己的鍋，好使\\n　\\n平心而論，要請客吃火鍋大舜的確不錯，有機會吃吃旁邊的大舜烤肉（有人載的話）,4.0,train,negative,,neutral,,positive,location:negative; price:neutral; food:positive,regression_mixed
14151,因为工作有合作，记不清来他家吃过多少次了，同事的婚宴还是在他家办的。优点有：环境好，地方大，几乎从没见过坐不下的时候，装修还不错，菜品味道也还可以，价格适中；缺点就是位置偏僻，基本上只有附件的人光顾，有时候上菜比较慢，服务态度只能算正常吧。印象最深味道好的菜有杏仁海皇卷、上汤蔬菜（一锅蔬菜但是要100多元，主要是高汤的味道），红烧肉等等。门口有停车场，几乎随便停。对面的万科森林公园人气起来以后，生意可能会更好些。,4.0,train,negative,mixed,negative,positive,positive,location:negative; service:mixed; price:negative; environment:positive; food:positive,regression_service_environment
15058,在南京早餐不吃鸭血粉丝汤貌似很不对，但走过这家店的时候看着挺干净，于是两个懒人懒癌一发作就不高兴再步行800米去吃本地名小吃了\\n\\n早上去的早，店里就我们一桌，服务员都在忙着打扫为中午做准备，想要为中午留点胃口两人点了一份面，事实证明很明智，这里的面大碗量足的，两个女生一碗早饭足够\\n\\n吃的是招牌酸汤肥牛面，料挺多，面的口感很独特，有点介于机压面和方便面的那种口感，肥牛就是超市里速冻里卖的那种，火锅店里也很常见，口感一般般吧，配料蔬菜什么种类倒是挺多，一碗有荤有素营养很全面了\\n,3.0,train,,negative,,positive,positive,service:negative; environment:positive; food:positive,regression_service_environment
28215,来西双版纳三天，吃的第一顿傣家菜，在大众点评搜的，排名第一的店，按着地址就来了，门面小小的，上了二楼坐了靠窗的位置，等菜的空挡还能看看外面的风景。点了柠檬凉粉，柠檬烤鱼，包烧豆腐，炸青苔，菠萝饭和柠檬汁。柠檬凉粉有点像陕西的搅团，外地人应该听不懂的。柠檬烤鱼不沾柠檬酱，只吃鱼本身的味道就很好吃，鱼肉也特别嫩，非常好吃。包烧豆腐里面有肉末和菜，虽然吃不出来是什么只是觉得特别好吃。炸青苔有点像海苔的味道，也是不错的。菠萝饭真的是吃到的最好吃的菠萝饭了，比西安很多餐馆卖的都好吃，主要是当地的菠萝好吃，一会就要去买一个菠萝吃。柠檬汁是看了评价点的，真的太好喝了。最后整个饭的价钱也是不贵的，我跟妈妈特别满意。,5.0,train,,,positive,negative,positive,price:positive; environment:negative; food:positive,regression_service_environment
38509,这家店是中午11点钟才开始吃饭的，然后星期日去的，人还是蛮多的，俄生意非常好，东西也非常多，有，嗯，猪耳朵。还有猪爪子汤，还有红酒，还有啤酒，喝了很多红酒，吃了很多，嗯，这些。吃了很多鸡米花还有薯条，然后味道非常棒，蔬菜种类也非常多，但是的话价格50还可以，嗯跟多伦多差不多，就是没有牛排，其他还是蛮好的，饮料品种不是特别多，如果多一点你能听懂那就更好了，总之生意非常棒，希望商家多搞，团购活动，30块钱能吃到这样的这个自助餐这样做已经算非常不错的人，只可惜活动只到9月2号截止。但是以后还会去的，3家棒棒哒。,5.0,dev,,,positive,,positive,price:positive; food:positive,regression_price_location
31623,看到我有好多的积分呀，加在一起居然可以顶十元钱用，于是我便在大众点评网上用积分又团了一份国梁烤鸡，居然只花了9元钱就可以买到20元的食品，实在是太划算了，相当于打了五折，到了店内，服务员并没有因为我买的便宜就给我拿昨天剩下的或是不好的食品，而是都一视同仁的给我拿的日常卖的新鲜食品，真的是太棒了，就是喜欢吃国梁的味道，鸡腿、鸡翅、烤鸡、烤羊腿、炸肉等等，里面的好多食品都是我的最爱，所以，还是会一如既往的支持下去。,5.0,train,,positive,positive,,positive,service:positive; price:positive; food:positive,regression_price_location
4839,京味斋就在我们班车站旁边，今天下了班车我就先过去，老公带着老妈从家开车过去，还不到六点，所以还有停车位，听说京味斋只有七八个免费停车位。服务员态度热情，因为挨着后厨，老妈觉得有点呛，我们提出来马上帮我们换了个座位，上菜的速度也很快，大师傅就在旁边片烤鸭，最后把鸭架子打包放在客人旁边，不像很多餐馆从后厨拿来的鸭架子都不知道放了几天的了。宫保鸡丁和溜肝尖也是我的最爱，溜肝尖做的没有猪肝的腥味，炒的很嫩，很滑。口蘑芦笋也味道适宜。我们边吃边欣赏两个青年演奏家的民乐合奏，乐器挺悠扬的，很是享受。如果有电梯就好了，老人腿脚不方便的上下楼梯很困难。,5.0,train,neutral,positive,,,positive,location:neutral; service:positive; food:positive,regression_price_location
